State,AgencyType,AgencyName,Race,Religion,SexualOrientation,Ethnicity,Disability,Gender,GenderIdentity,1stQuarter,2ndQuarter,3rdQuarter,4thQuarter,Population,ID,StateCode
Massachusetts,Cities,Boston,73,21,53,15,0,0,3,39,56,40,30,"643,799",5,MA
California,Cities,Los Angeles,41,29,33,9,0,0,2,21,40,25,28,"3,878,725",5,CA
New_York,Cities,Yonkers,1,3,1,0,0,1,1,2,0,3,2,"199,134",5,NY
Washington,Cities,Seattle,50,14,14,6,3,2,0,19,23,29,18,"642,814",5,WA
New_York,Cities,New York,44,152,99,17,1,0,1,56,84,81,93,"8,396,126",5,NY
New_York,Cities,Poughkeepsie,0,0,0,2,1,0,1,2,1,0,1,"30,778",5,NY
Tennessee,Cities,Memphis,9,0,12,1,1,0,1,6,5,9,4,"657,691",5,TN
Washington,Cities,Auburn,5,1,0,3,0,0,1,1,1,4,4,"74,565",5,WA
California,Cities,Fresno,4,0,3,2,0,0,1,3,3,1,3,"508,876",5,CA
California,Metropolitan Counties,San Bernardino,2,0,1,2,0,0,1,1,0,3,2,,5,CA
California,Cities,Riverside,11,1,1,2,0,0,1,7,4,0,5,"316,423",5,CA
New_York,Universities and Colleges,State University of New York: Binghamton,0,2,0,0,0,0,1,0,0,3,1,"15,308",5,NY
California,Cities,Cupertino,0,0,0,0,0,0,1,0,0,0,1,"60,440",5,CA
California,Cities,Huntington Beach,0,0,0,0,0,0,1,0,1,0,0,"195,842",5,CA
New_York,Metropolitan Counties,Putnam,0,0,0,0,0,0,1,0,0,1,0,,5,NY
New_York,Cities,Buffalo,11,1,2,2,0,1,0,6,3,4,4,"258,789",5,NY
Washington,Cities,Fife,0,0,0,1,0,1,0,0,1,1,0,"9,380",5,WA
Michigan,Universities and Colleges,Michigan State University,2,0,2,0,0,1,0,1,0,2,2,"48,783",5,MI
Massachusetts,Universities and Colleges,Northeastern University,0,1,1,0,0,1,0,0,0,0,3,"27,694",5,MA
Michigan,Cities,Bangor,0,0,0,0,0,1,0,0,0,0,1,"1,857",5,MI
New_York,Cities,Croton-on-Hudson Village,0,0,0,0,0,1,0,0,1,0,0,"8,180",5,NY
New_York,Cities,Schodack Town,0,0,0,0,0,1,0,0,0,1,0,"11,573",5,NY
New_York,Universities and Colleges,Morrisville,0,0,0,0,0,1,0,0,1,0,0,"3,095",5,NY
