State,Agency Type,Agency Name,Race,Religion,Sexual Orientation,Ethnicity,Disability,Gender,1st quarter,2nd quarter,3rd quarter,4th quarter,Population,ID,State Code
South_Carolina,Cities,Winnsboro,0,6,0,0,0,0,2,3,0,1,"3,428",0,SC
Virginia,Metropolitan Counties,Fairfax,7,5,0,1,0,0,3,1,5,4,"1,131,000",0,VA
North_Carolina,Metropolitan Counties,Iredell,0,5,0,0,0,0,0,2,3,0,"164,517",0,NC
Tennessee,Cities,Covington,1,0,0,12,4,0,3,1,5,8,"9,076",2,TN
Connecticut,Cities,Southington,1,0,0,6,0,0,3,2,2,0,"43,542",2,CT
Tennessee,Cities,Jonesborough,0,0,0,4,1,0,0,0,2,3,"5,163",2,TN
California,Cities,Union City,1,0,0,4,0,0,1,3,1,0,"72,480",,CA
North_Dakota,Nonmetropolitan Counties,Mountrail,1,0,0,1,3,0,0,0,1,4,"9,376",3,ND
Kentucky,Cities,Florence,1,0,0,0,2,0,1,1,1,0,"31,434",3,KY
New_York,Cities,Poughkeepsie,0,0,0,2,1,1,2,1,0,1,"30,778",3,NY
Pennsylvania,Cities,Philadelphia,14,1,0,1,0,0,3,11,1,1,"1,553,153",4,PA
West_Virginia,Cities,Oak Hill,14,0,0,0,0,0,0,6,8,0,"7,709",4,WV
Montana,Cities,Helena,11,0,0,0,0,0,11,0,0,0,"29,411",4,MT
Washington,Cities,Auburn,5,1,0,3,0,1,1,1,4,4,"74,565",5,WA
California,Cities,Cupertino,0,0,0,0,0,1,0,0,0,1,"60,440",5,CA
California,Cities,Huntington Beach,0,0,0,0,0,1,0,1,0,0,"195,842",5,CA
New_York,Metropolitan Counties,Putnam,0,0,0,0,0,1,0,0,1,0,"99,645",5,NY
Washington,Cities,Fife,0,0,0,1,0,1,0,1,1,0,"9,380",5,WA
Michigan,Cities,Bangor,0,0,0,0,0,1,0,0,0,1,"1,857",5,MI
New_York,Cities,Croton-on-Hudson Village,0,0,0,0,0,1,0,1,0,0,"8,180",5,NY
New_York,Cities,Schodack Town,0,0,0,0,0,1,0,0,1,0,"11,573",5,NY
New_York,Universities and Colleges,Morrisville,0,0,0,0,0,1,0,1,0,0,"3,095",5,NY
